variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,source_kind,error_mode
probe_loose,放宽顺路探测门槛,50,635,635,50,0,558.545948087162,696.7201698233024,13,24,13,35.86835118585543,directional_endpoint_10046,1.3317360440296442,-0.23431090551941924,-0.15937544493720424,-0.36862187156436743,7093.533540706957,569.6945448845353,25897.867703534783,5179.573540706956,310.4,273.18,37.22,260.48,6.2,5.34,18.04,0.06,1834.44,79.52,478.2120336386936,282.44,directional,endpoint
probe_strict,收紧顺路探测门槛,50,635,635,50,0,559.7031899481941,698.8429945742963,18,28,4,34.40119238829084,directional_endpoint_10007,2.798752657678706,-0.49242360938224206,-0.4725824204386164,-0.21341266248464663,7108.230512342066,571.1615614981843,25978.85256171033,5195.770512342066,309.92,273.42,36.5,260.72,5.62,6.28,18.98,0.12,1830.12,82.34000000000002,392.0802386911578,280.52,directional,endpoint
early120,提前清除（120 m）,50,635,635,50,0,555.8621531253947,687.192439870475,28,17,5,62.2833006244183,directional_endpoint_10035,-0.9841184956024915,0.17314969950447123,0.16131943505791613,0.7566448942637138,7059.4493446925135,567.378690344903,25814.94672346258,5162.989344692514,306.92,271.14,35.78,258.44,6.08,6.04,18.74,0.02,1814.84,81.61999999999983,430.91078620953056,280.24,directional,endpoint
finish_source,选中一个源后连续清除,50,635,635,50,0,646.070174703488,787.8362519904782,3,47,0,209.98843570837272,directional_endpoint_10009,89.42384631627574,-15.73358511946019,-22.203168851391155,0.5691004332923688,8205.091218734298,657.7866551567813,31597.656093671485,6319.531218734297,307.5,268.66,38.84,255.96,6.82,6.82,19.52,0.14,1801.6000000000004,83.9599999999999,1236.2823657211245,264.1,directional,endpoint
compact,仅外圈半径 1950→1900 m,50,635,635,50,0,549.5517713646631,677.6443437492957,44,6,0,10.503021727201997,directional_endpoint_10009,-7.929075122690421,1.3950728301287296,1.9233771314159598,-0.103472806053162,6979.307496331221,560.4337337178151,25359.337481656115,5071.867496331223,309.58,272.88,36.7,260.18,5.82,4.74,17.44,0.04,1829.72,77.72000000000004,332.58668646377026,281.82,directional,endpoint
center_route,按源中心规划联合路线,50,635,635,50,0,560.2980747027099,723.4758925630515,24,26,0,85.27894383663431,directional_endpoint_10028,3.6307854190393325,-0.6388147434288172,-1.2966455204360017,1.9207139623617642,7115.785548724416,571.9935942595448,26191.927743622084,5238.3855487244155,303.32,271.18,32.14,258.48,7.7,6.24,18.94,0.04,1795.1800000000003,82.21999999999998,353.51542794186446,278.58,directional,endpoint
full_compact,A + B + C + 外圈微调,50,635,635,50,0,561.8807914868787,717.9902999209608,19,31,0,67.45683764204722,directional_endpoint_10009,5.794560093179487,-1.0195178155658846,-0.7865351981504176,-0.206945612106324,7135.88605188336,574.1573689336851,26060.0302594168,5212.006051883359,309.9,275.44,34.46,262.74,5.74,8.66,21.36,0.06,1834.4,89.48,604.7234751781357,284.9,directional,endpoint
proxy_reuse_early_compact,源中心路线 + B + C + 外圈微调,50,635,635,50,0,547.9688008841143,688.6834407705966,31,19,0,68.80705395685521,directional_endpoint_10019,-8.95507034160554,1.5755904859211967,1.5552654732843063,2.5868201513289835,6959.203771228253,559.4077384989,25454.518856141254,5090.903771228252,301.26,271.18,30.08,258.48,7.34,6.38,19.08,0.02,1785.66,82.64000000000009,290.8269388333813,279.36,directional,endpoint
proxy_compact,源中心路线 + 外圈微调,50,635,635,50,0,552.4553572960837,702.2637088754609,27,23,0,70.89905552571918,directional_endpoint_10045,-4.030367455974847,0.7091187870291837,0.6355939240703212,1.9142469119834526,7016.183037660263,564.3324413845307,25692.315188301316,5138.463037660264,303.34,271.08,32.26,258.38,7.58,6.26,18.96,0.06,1795.4400000000005,82.28000000000006,307.52895882607464,278.74,directional,endpoint
every_stop,A + B + C，每次停车扫未知频道,50,635,635,50,0,792.3646530787518,1047.603176296855,0,50,0,416.74244555615144,directional_endpoint_10031,241.4458481931904,-42.48093725304693,-1.152882655387688,-158.0547112462006,10063.031094100146,809.8086570336958,26154.755470500742,5230.951094100147,798.06,762.04,36.02,749.34,6.48,6.46,19.16,0.04,4749.2,82.88000000000002,831.6495465924413,758.9,directional,endpoint
