variant,scene_id,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals
M75,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,7437.060053280972,531.2185752343552,29185.30026640487,14970.635331221321,260,16,14,0,25,,True,2,82,2.0704989998776,2.1259599000040907,216,202,44,3,1523.9999999999993,75.99999999999983,5837.060053280974,139.28349890440404,2,224,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,d0b0c1c4161da8b84fe1ba29ff123b9b69566e59861c071a3a82af0e947f560a,0,0,0,7,0,0,0
LPC,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,6374.330510157032,455.30932215407375,23651.652550785162,8025.796286101727,260,24,14,7,25,,True,13,52,1.6301622000464704,1.7243722999992315,233,219,27,4,1543.9999999999993,99.99999999999972,4730.330510157032,183.8417466158835,10,244,0.0,True,943.0121947375769,17.74943008678929,e8373f60195ea1898521e6ed681d7b13eb50078f8eef6993b6e5c2d13cda77af,13,0,0,0,13,0,16
baseline,mixed_smooth_50044,50044,mixed,smooth,e8312366463e9f8a717c8d3db4236aa5a6a23dc1e0eb1611d2fc9af76f7a37f9,13,13,6618.458303443646,509.1121771879728,24052.29151721824,9737.119942171443,293,16,13,0,25,,True,11,70,1.526952699845424,1.5974239000061061,252,239,41,2,1733.9999999999995,73.99999999999888,4810.458303443648,160.16360702751354,3,269,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,f33aa093e2cad307c5034bf135bbc44f2f0a6121c6366d5937ee83b8ec0f219b,0,0,0,0,0,0,0
LC,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,6478.4975219771595,462.74982299836853,24362.487609885797,9504.99522716021,254,25,14,10,25,,True,7,59,2.1345651000447106,2.220685999986017,227,213,27,4,1503.0000000000007,103.00000000000007,4872.497521977159,0.0,11,233,0.0,True,943.0121947375769,17.74943008678929,2d69816072c39572ecc295ab1ba1ed0227ea4383801d2619944345428f7ae171,0,0,0,0,0,0,110
S_all,mixed_smooth_50044,50044,mixed,smooth,e8312366463e9f8a717c8d3db4236aa5a6a23dc1e0eb1611d2fc9af76f7a37f9,13,13,6496.290511388168,499.71465472216676,23501.45255694084,8125.670065024936,290,19,13,0,25,,True,21,70,1.460963800229365,1.5301635999931023,242,229,48,4,1712.9999999999998,82.99999999999996,4700.290511388169,228.50972400085993,6,263,0.0,True,943.0121947375769,17.74943008678929,b2209f8c77b2d7d4649651ed6ecf07debdd437a135c74d94476eae13ceda659d,21,0,0,0,0,0,0
L30,mixed_smooth_50044,50044,mixed,smooth,e8312366463e9f8a717c8d3db4236aa5a6a23dc1e0eb1611d2fc9af76f7a37f9,13,13,6159.5585233159945,473.8121941012304,22692.792616579973,7751.239806581906,262,14,13,0,25,,True,8,57,1.463325599906966,1.5138585999957286,235,222,27,2,1553.0000000000002,67.99999999999983,4538.5585233159945,1974.3553556360512,1,243,0.0,True,943.0121947375769,17.74943008678929,121943bfd41aee13320a803ddd8403ca783717cc2b7cf020d6a013d94d659465,0,0,0,0,0,0,0
L90,mixed_smooth_50044,50044,mixed,smooth,e8312366463e9f8a717c8d3db4236aa5a6a23dc1e0eb1611d2fc9af76f7a37f9,13,13,6282.645619264653,483.28043225112714,22783.228096323262,8747.800520710944,279,14,13,0,25,,True,8,52,1.2021541001449805,1.2552359999972396,257,244,22,0,1658.0000000000005,68.00000000000011,4556.645619264652,1149.4678096260268,1,263,0.0,True,943.0121947375769,17.74943008678929,c62998f50cb84715d3a708201403581e8a23eb37695026340a4515c636616c38,0,0,0,0,0,0,0
previous_best,mixed_smooth_50044,50044,mixed,smooth,e8312366463e9f8a717c8d3db4236aa5a6a23dc1e0eb1611d2fc9af76f7a37f9,13,13,6364.977527755969,489.6136559812284,22389.887638779834,6283.263240535403,305,16,13,0,25,,True,20,48,2.0876485001354013,2.1562291999871377,277,264,28,7,1813.0000000000007,74.00000000000077,4477.977527755966,0.0,3,288,2.7284841053187847e-12,True,943.0121947375769,2.074856830987301,72b0765d2492a12cb001df7059df023052c4b10a9da89f6692be3a426dcc7aff,20,10,0,0,0,0,0
P1,mixed_smooth_50044,50044,mixed,smooth,e8312366463e9f8a717c8d3db4236aa5a6a23dc1e0eb1611d2fc9af76f7a37f9,13,13,6581.812917516143,506.29330134739564,24024.064587580717,8598.867307330858,287,18,13,0,25,,True,19,68,1.2421349998912774,1.3172735999978613,242,229,45,4,1696.9999999999998,79.99999999999964,4804.812917516143,228.50972400085993,5,262,0.0,True,943.0121947375769,17.74943008678929,7101bc933976effe29b623a94cda8a64a0108ccdd67706a60cd39910d90fc6b2,19,0,0,0,19,0,0
P2,mixed_smooth_50044,50044,mixed,smooth,e8312366463e9f8a717c8d3db4236aa5a6a23dc1e0eb1611d2fc9af76f7a37f9,13,13,6496.290511388168,499.71465472216676,23501.45255694084,8125.670065024936,290,19,13,0,25,,True,21,70,1.3117878000193741,1.392843100009486,242,229,48,4,1712.9999999999998,82.99999999999996,4700.290511388169,228.50972400085993,6,263,0.0,True,943.0121947375769,17.74943008678929,1224dea9d790433cf2cd8604193975fc017538f526cda4cb3b97bd3d8a07311c,21,0,0,0,21,0,0
