variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,source_kind,error_mode
S_all,S 不限制单站补测数量,50,646,646,50,0,478.48786826359884,648.0188240951585,31,19,0,51.137302319435435,omni_endpoint_50010,-10.23033596291012,2.0354641156442366,3.403600893598957,-2.016716509470129,6182.063257965697,492.3742486269933,22652.416289828485,4530.483257965697,266.08,228.14,37.94,215.22,0.38,4.22,17.14,0.0,1574.32,77.26000000000009,450.44498130361404,243.92,omni,endpoint
previous_best,上轮 JSO + 紧凑外圈 + D-optimal,50,646,646,50,0,451.81257076400567,631.5175399219983,42,8,0,16.252788421953596,omni_endpoint_50024,-36.219568414267684,7.206374459122933,9.304197772568445,2.898550724637683,5837.418414270954,466.3850161756358,21268.69207135477,4253.738414270954,253.26,226.78,26.48,213.86,0.54,5.68,18.6,0.0,1502.04,81.63999999999993,431.53663659435057,235.74,omni,endpoint
P1,P 每站最多补测1次,50,646,646,50,0,473.3031527172234,650.7513304049337,32,18,0,29.429254777985477,omni_endpoint_50010,-14.141554942152359,2.813654187753001,4.149137340449672,0.2377118319147331,6115.076733106526,488.46302964775117,22477.583665532627,4495.516733106526,260.2,224.3,35.9,211.38,0.2,4.84,17.76,0.0,1540.44,79.12000000000018,444.46474183290286,239.44,omni,endpoint
L30,L 局部完成代价（惩罚30 s）,50,646,646,50,0,480.70362151279267,659.8704594647925,27,23,0,72.01946717568364,omni_endpoint_50025,-7.137069852756988,1.4200168624765919,1.1011518735579928,3.581013725941262,6210.690789945282,495.4675147371465,23192.353949726406,4638.470789945281,251.48,225.2,26.28,212.28,0.18,5.18,18.1,0.02,1492.08,80.13999999999994,511.9025822113376,234.68,omni,endpoint
L90,L 局部完成代价（惩罚90 s）,50,646,646,50,0,480.8384232218107,652.5819722173155,30,20,0,69.65051812569618,omni_endpoint_50030,-7.043580094464418,1.4014158068636928,1.4030284506897805,2.7221838816041677,6212.432428025794,495.561004495439,23121.562140128975,4624.312428025794,253.72,227.48,26.24,214.56,0.18,6.32,19.24,0.06,1504.56,83.56000000000012,554.2591655360296,235.96,omni,endpoint
F60,F 连续处理当前源（60 m）,50,646,646,50,0,488.3091040313065,655.384173637397,0,1,49,2.1443574207725646,omni_endpoint_50017,0.04288714841545129,-0.008532979946940245,-0.004638113965049762,-0.01533624722032112,6308.95362408448,502.647471738319,23451.668120422397,4690.33362408448,260.86,227.26,33.6,214.34,0.12,4.28,17.2,0.04,1541.1800000000003,77.44000000000001,435.22980945221747,236.88,omni,endpoint
P2,P 每站最多补测2次,50,646,646,50,0,476.8893042672913,648.0188240951585,30,20,0,44.12555566605016,omni_endpoint_50006,-11.060061755389647,2.2005493173951174,3.5719004981051294,-1.1272141706924366,6161.409811133403,491.5445228345138,22612.949055667017,4522.589811133403,263.76,226.82,36.94,213.9,0.32,4.28,17.2,0.0,1561.38,77.44000000000011,458.84071195053735,242.58,omni,endpoint
F120,F 连续处理当前源（120 m）,50,646,646,50,0,486.82459204757794,654.4470909659656,22,20,8,61.12392841502219,omni_endpoint_50025,-1.3757177770001,0.27371771352276975,0.1407718225317267,0.7131354957441993,6289.773729254707,501.22886681290345,23417.568646273532,4683.513729254707,258.96,225.84,33.12,212.92,0.18,4.5,17.42,0.04,1528.16,78.09999999999994,384.1795422015543,233.36,omni,endpoint
C1,C 局部光学代价比 ≤1.0,50,646,646,50,0,484.607695007443,650.5994034882826,43,0,7,0.0,omni_endpoint_50006,-3.615367410158309,0.7193263891749568,0.8926148275490764,0.8434935971167845,6261.131419496163,498.9892171797452,23241.257097480815,4648.251419496164,258.62,227.26,31.36,214.34,0.12,6.8,19.72,2.2,1527.8800000000003,85.00000000000017,432.9886650100444,234.78,omni,endpoint
C15,C 局部光学代价比 ≤1.5,50,646,646,50,0,480.89663889989777,645.6907198517046,48,2,0,5.268378015406995,omni_endpoint_50015,-7.525360882892719,1.4972726301398676,1.945613174490235,1.8940265317076932,6213.184574586679,495.0792237070107,22994.322872933397,4598.86457458668,255.88,226.72,29.16,213.8,0.14,12.72,25.64,5.0,1511.5600000000006,102.7600000000003,443.07110463592215,232.16,omni,endpoint
PC,P + C,50,646,646,50,0,466.93928644764384,645.746835095113,40,10,0,60.423184421254405,omni_endpoint_50037,-20.300659800969196,4.039091648464266,5.643794420157544,2.568821409401112,6032.855580903558,482.30392478893424,22127.07790451779,4425.415580903558,254.12,224.02,30.1,211.1,0.22,12.7,25.62,5.74,1504.74,102.70000000000009,460.40312863080476,234.14,omni,endpoint
