variant,scene_id,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256
nearest_early,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7750.422972746288,704.583906613299,28062.114863731436,9883.52187116395,349,16,11,0,25,,True,3,69,0.7649997999251354,0.8158089999924414,317,306,32,3,2068.000000000001,69.99999999999983,5612.422972746286,0.0,5,323,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,b9a222e80082a183f9e3495fd5dc29960a70a7e2e56e0ae81436a427ab399aa4
reuse_early,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7095.189060404947,645.0171873095406,25140.945302024724,9506.588294219746,335,18,11,0,25,,True,6,62,0.7738797001366038,0.8242194000049494,308,297,27,3,1991.0000000000016,76.00000000000011,5028.189060404946,575.3709446010944,7,316,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,f28a5f203dca453bf9b780af5ac3db41e1f2825bd1fb7f31e85712e6ba6f237d
full,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7650.458976839578,695.4962706217798,27637.294884197883,10364.652633619007,346,16,11,0,25,,True,5,64,0.756875900173327,0.8058302999997977,317,306,29,4,2053.0000000000005,70.00000000000071,5527.458976839575,0.0,5,323,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,0632f5845d0db0339c54a83bdd5b35d98ace10678ac71a35f68bdc1e026fb4b2
probe_off,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7047.646012475905,640.6950920432641,24698.230062379527,9017.420798118852,344,18,11,0,25,,True,0,76,1.065157800068846,1.1120019999798387,310,299,34,5,2032.0000000000014,75.99999999999942,4939.646012475905,743.7706319816662,7,312,0.0,True,943.0121947375769,17.74943008678929,fa21c404f3d90a10679cb96b025b1d665d589d8bc1dc4ef7902a821b9013f5b8
early220,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7448.3715497251105,677.1246863386464,26141.857748625567,10672.303382411861,360,19,11,0,25,,True,6,66,0.7598405000171624,0.8160630000056699,331,320,29,5,2140.9999999999995,79.00000000000057,5228.371549725112,575.4594429393692,8,341,-2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,4766072bc5867b747dc9582ad75196ec559d212c1016345d313fb5f95a3e0a34
probe_strict,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,6960.000883303578,632.727353027598,24305.004416517888,8532.510823567929,342,17,11,0,25,,True,3,70,1.0251048002101015,1.080063200002769,310,299,32,3,2026.0000000000023,72.99999999999947,4861.000883303578,743.6993373989026,6,316,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,0e04cd60645712803596240b43aaa3110b46095f0d9cb8c9c9a24b86db65e418
early120,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,6922.568322487624,629.3243929534203,24177.84161243811,8132.08688030285,339,18,11,0,25,,True,5,66,0.9157884000160266,0.9686095000070054,310,299,29,4,2011.0000000000018,76.00000000000115,4835.568322487621,743.590815283219,7,316,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,8bad550f46c3e5f8323a423b649a0e118955b6663f10c6751fc2b25e614f350e
probe_loose,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,6870.933816070794,624.6303469155267,23869.669080353968,7821.605084570592,341,18,11,0,25,,True,6,67,1.0040191999869421,1.0566953000088688,310,299,31,3,2021.0000000000018,75.99999999999916,4773.933816070793,743.590815283219,7,316,0.0,True,943.0121947375769,17.74943008678929,e351d2a8048fb0ffffe696263e680b7c3c1292de372c829ff80ce7d5715378a7
center_route,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7198.931061472917,654.4482783157197,25264.655307364577,9105.04057732549,351,13,11,0,25,,True,9,53,0.7925155000411905,0.8469796999997925,326,315,25,7,2085.000000000002,61.000000000000895,5052.931061472915,577.4719530707735,2,330,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,290150d8e9899b17bf55ddce7765f89173777227f73b743df80b9194bd80ec99
finish_source,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,8010.821290759297,728.2564809781179,29284.10645379649,12332.318165935594,354,16,11,0,25,,True,0,75,0.8534086000581738,0.8954507000162266,319,308,35,4,2084.0,69.99999999999936,5856.8212907593,1991.48316498451,5,314,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,94554a5dd5fd0e06f3759a1becbfbfce6de9e322b576a744c05eb7ec01b6b8cf
compact,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7046.359163150422,640.5781057409475,24786.795815752102,8263.082195622848,340,18,11,0,25,,True,3,71,0.9446688999887556,0.9992134000058286,308,297,32,2,2013.0000000000011,76.0000000000001,4957.359163150422,561.9227214766934,7,313,1.8189894035458565e-12,True,943.0121947375769,2.074856830987301,cd4fffd69aec448c64e8cde17a53203fda7b2c25000fac5cd2e862343b569185
every_stop,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,9377.273255210757,852.4793868373416,24381.366276053766,8012.42899017086,745,15,11,0,25,,True,6,55,0.5078161999408621,0.5921152999799233,723,712,22,3,4434.000000000002,67.0000000000025,4876.273255210753,353.2007687489713,4,709,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,5e1428343844edc28323989a8d108fe38cd9fe20f6a0f01fba9308197ead5f8b
full_compact,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7522.137828715278,683.830711701389,26995.689143576386,9295.454959865348,346,16,11,0,25,,True,5,64,0.6675745998509228,0.7121791999961715,317,306,29,4,2053.0000000000014,70.00000000000077,5399.137828715276,0.0,5,323,9.094947017729282e-13,True,943.0121947375769,2.074856830987301,5007e9ca8ef65cd6b550fb669805fb7c112a3ab77892e2630ea9d46dbc2db815
proxy_compact,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7419.440205892895,674.4945641720814,26227.20102946447,11050.89684314203,354,17,11,0,25,,True,10,61,0.8798616998828948,0.9279969000199344,324,313,30,7,2101.0000000000014,72.99999999999969,5245.440205892896,0.0,6,331,9.094947017729282e-13,True,943.0121947375769,2.074856830987301,b22b0e60776e182c8328d96c0d8d171696cb124afb4aa9a1b6d43138f26c1297
proxy_reuse_early_compact,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7132.128132446481,648.3752847678619,24945.640662232403,10761.050891634326,349,15,11,0,25,,True,8,55,0.7846901000011712,0.8346153000020422,324,313,25,7,2076.0000000000014,67.00000000000041,4989.128132446481,0.0,4,331,0.0,True,943.0121947375769,2.074856830987301,202a9c4778fe76179e0e16c3231d58420a8d2559f0e2fb3f16d8b699ba543aa6
baseline,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,7208.649190988364,554.5114762298742,26968.2459549418,12422.64901031354,293,18,13,0,25,,True,10,70,0.9129807999706827,0.9653502999863122,255,242,38,6,1735.000000000003,80.00000000000092,5393.649190988364,104.06863460572731,5,270,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,2f007fab27b93dceeeb3da2f629c862c5fdf1c77acbd001bf3ac62381b35f2a8
nearest,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,7435.7363083554,571.9797160273384,27738.681541776994,11353.534447180387,307,19,13,0,25,,True,5,84,1.1073666001029778,1.1611269999993965,261,248,46,4,1805.000000000002,82.9999999999996,5547.7363083554,334.6529169887335,6,270,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,8db972e11b9c503c05bcb6f7f7a95c21ff5a1d2b34fa49a09934745fce08f5c8
early160,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,6674.032345340607,513.3871034877391,24435.161726703045,10453.728120172891,287,20,13,0,25,,True,6,71,0.7549568000831641,0.8016024999960791,254,241,33,2,1701.0000000000011,85.99999999999918,4887.032345340607,262.6379265356036,7,266,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,30491750132514edf03500feae83e499fc5782fa7e8f9e6f0da8e4f5bea310a1
nearest_early,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,7213.388023105531,554.8760017773485,26911.940115527657,10191.852005402243,296,19,13,0,25,,True,6,72,0.7761887001397554,0.8346308000036515,261,248,35,2,1748.000000000002,82.9999999999987,5382.388023105531,334.6529169887335,6,268,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,9bd5c6de04c562e26c67696343a2506b4d88b4d6bb08a467c1dae8a09270bab6
nearest_reuse,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,7355.037207849292,565.772092911484,26925.186039246455,11979.231813347511,319,21,13,0,25,,True,5,79,0.9343713997805025,0.9813344999856781,280,267,39,4,1880.9999999999995,89.00000000000061,5385.037207849292,103.38072657543853,8,286,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,68ff8265d1ab7431887f96203bd95a1f8a24c599779d5804ed561cb0a5bb0a5a
reuse,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,7221.450839823505,555.496218447962,27152.25419911753,10304.288169146917,288,21,13,0,25,,True,6,81,1.2187426999153104,1.2698697000159882,246,233,42,5,1702.0000000000011,88.99999999999977,5430.450839823507,377.0026009923313,8,262,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,6a6267b2cf98503d9fb0a750f8a1c4ac0887d9539b3e87c377d78e0108a2d3c2
full,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,6938.367292610929,533.7205609700715,25951.836463054635,9532.819170972636,280,23,13,0,25,,True,5,76,0.6951391001348384,0.7346304000238888,246,233,34,5,1653.0000000000025,95.00000000000014,5190.367292610928,377.0026009923313,10,253,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,68a966b057190a9ed5f1728f569c2f578930dd52b9f6b9310b46128dd382e35d
reuse_early,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,6832.282229402037,525.5601714924644,25631.41114701018,10000.190341489204,273,21,13,0,25,,True,6,71,0.7950789999158587,0.8376627000106964,241,228,32,3,1617.000000000001,89.00000000000044,5126.282229402036,1033.9735416129042,8,252,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,e477dda6bddd27135a273ed78db7cd110f9af2a17ded668b1abc23a206127045
probe_off,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,7547.019851897559,580.5399886075046,28545.099259487793,14003.38728018637,296,23,13,0,25,,True,0,91,1.134380899980897,1.170459099987056,252,239,44,4,1743.0000000000016,94.99999999999953,5709.0198518975585,0.0,10,263,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,b73545c2495f1452244bd25cbf22a2a9583a50d94db88535f6b556ab82b5f824
probe_loose,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,7238.135381650359,556.7796447423353,27045.676908251786,12670.420106404441,295,18,13,0,25,,True,10,71,1.2780636998650152,1.3396796000015456,256,243,39,5,1749.000000000001,80.00000000000023,5409.13538165036,104.06863460572731,5,274,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,8e9919a6984932e0d4b56bd08488a6b4818aabfd9d13b3366fc47228c1ba8724
early220,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,6646.97484061798,511.3057569706138,24334.874203089905,10348.673715754758,286,20,13,0,25,,True,6,70,1.1851382000313606,1.2541900999785867,254,241,32,2,1694.0000000000011,85.99999999999926,4866.974840617979,262.6379265356036,7,264,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,4feabd82d172b65315216ae2babed2ea2d407ecd17d10302fcf4baea8c336ad4
early120,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,6907.133786697923,531.3179835921479,26180.668933489604,11105.502072772733,268,20,13,0,25,,True,6,73,1.3511914999689907,1.4250998999923468,233,220,35,4,1585.0000000000005,86.00000000000125,5236.133786697922,641.4838641885208,7,245,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,0916e147137b2c710442698b1c179bfbede2287e61f71e1937da69cf47903e3b
probe_strict,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,7470.601265804519,574.6616358311169,28138.006329022603,13607.77142253386,298,21,13,0,25,,True,4,87,1.5395744997949805,1.6151663000055123,252,239,46,5,1754.0000000000011,88.99999999999861,5627.601265804519,0.0,8,264,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,e915f670052625c1fdeb8e4809ae90e502de49b0d90fd33b4d6201d3efb63207
finish_source,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,8610.402669951129,662.3386669193176,33182.01334975565,15078.614399242142,321,23,13,0,25,,True,0,90,1.268459800252458,1.3223262000246905,278,265,43,4,1879.0000000000007,94.99999999999929,6636.40266995113,700.1180855828479,10,274,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,3bda5db5d8596d326038a9e623962f99e5c38d14a800938cc64c48dcf7df11f3
center_route,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,7012.448736033601,539.4191335410462,26272.24368016799,9762.0811020109,282,22,13,0,25,,True,9,73,1.3948597999406047,1.456931099994108,246,233,36,5,1666.0000000000016,92.00000000000071,5254.448736033599,377.0026009923313,9,256,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,877e49bb1df96df7f3b542a43cce1e68413a397ed0dbbc9bbe209c3ba1e15e46
compact,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,7162.488181306377,550.9606293312597,26672.440906531865,12482.791490962503,295,19,13,0,25,,True,10,73,1.3333197999745607,1.3995201000070665,255,242,40,6,1745.0000000000016,83.0000000000013,5334.488181306378,104.06863460572731,6,270,3.637978807091713e-12,True,943.0121947375769,2.074856830987301,1329486c5e33bbbc941ee2ed00dc6946b2c645f8b6c7bf5f4fe2e567b1af2d51
full_compact,directional_endpoint_10041,10041,directional,endpoint,a51ec24ec2af2727571aab3360bc3234f6a3d25c64761af081924e5942295262,13,13,6877.903642946759,529.0695109959045,25654.51821473379,9461.577830387714,280,22,13,0,25,,True,6,74,0.9850491997785866,1.0387053999875207,246,233,34,5,1655.000000000001,91.99999999999913,5130.903642946759,303.0675877664107,9,255,9.094947017729282e-13,True,943.0121947375769,2.074856830987301,aa8103d32ce3f252e028942d1d2856a61c5a5d6b99d8fc79d5fbb7cb269b34af
