scene_id,scene_group,seed,N,family,error_mode,source_sha256,variant,K,T,T_over_K,move_m,n_measure,n_clear,n_safe,n_full_225,all_certified,failure,wall_s,detected,movement_s,measure_s,clear_s,n_switch,discovery_measure,refine_measure,no_signal,failed_clear,action_time_max_error,total_time_error,after_last_clear_s,full_success,truth_clear_match,action_count_match
evaluation-10-boundary-1-spatial,evaluation-10-boundary-1,200101,10,boundary,spatial,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,COMPACT,10,5903.013480816022,590.3013480816022,23480.067404080102,150,96,5,0,True,,2.197681699995883,10,4696.01348081602,899.0,308.0,149,118,32,130,86,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-spatial,evaluation-10-boundary-1,200101,10,boundary,spatial,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,J,10,4069.256616013312,406.92566160133117,15896.283080066554,133,26,1,0,True,,0.4565506000071764,10,3179.256616013312,792.0,98.0,127,118,15,108,16,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-spatial,evaluation-10-boundary-1,200101,10,boundary,spatial,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,S,10,4953.516080781563,495.3516080781563,19012.580403907814,162,61,5,0,True,,0.9728748000052292,10,3802.5160807815632,948.0,203.0,138,118,44,130,51,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-spatial,evaluation-10-boundary-1,200101,10,boundary,spatial,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,O,10,4859.811697825414,485.9811697825414,19384.05848912708,155,13,0,0,True,,0.502257499989355,10,3876.811697825415,924.0,59.0,149,118,37,130,3,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-spatial,evaluation-10-boundary-1,200101,10,boundary,spatial,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JS,10,3929.9007476198162,392.99007476198165,14604.503738099076,147,40,3,0,True,,0.7007910000102129,10,2920.900747619816,869.0,140.0,134,118,29,118,30,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-spatial,evaluation-10-boundary-1,200101,10,boundary,spatial,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JO,10,3913.7949865044125,391.37949865044123,15253.974932522062,136,12,0,0,True,,0.6022976000094786,10,3050.794986504412,807.0,56.0,127,118,18,108,2,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-spatial,evaluation-10-boundary-1,200101,10,boundary,spatial,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,SO,10,4556.339916512668,455.63399165126685,18196.699582563357,144,13,0,0,True,,0.6907801999768708,10,3639.3399165126707,858.0,59.0,138,118,26,119,3,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-spatial,evaluation-10-boundary-1,200101,10,boundary,spatial,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JSO,10,3764.927947827031,376.4927947827031,14289.639739135158,142,13,0,0,True,,0.650810499995714,10,2857.927947827031,848.0,59.0,138,118,24,113,3,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-spatial,evaluation-10-boundary-1,200101,10,boundary,spatial,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JSO_ALLSCAN,10,5024.927947827031,502.4927947827031,14289.639739135158,352,13,0,0,True,,0.6374069000012241,10,2857.927947827031,2108.0,59.0,348,328,24,323,3,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-2-endpoint,evaluation-10-boundary-2,200102,10,boundary,endpoint,e976b3b32400d80d9a665680bcff13d8383f455c05ead065f2d5c32411f354df,ORIGINAL,10,5377.128189995199,537.7128189995199,20955.640949976012,149,91,6,0,True,,2.71898509998573,10,4191.1281899952,893.0,293.0,148,108,41,129,81,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-2-endpoint,evaluation-10-boundary-2,200102,10,boundary,endpoint,e976b3b32400d80d9a665680bcff13d8383f455c05ead065f2d5c32411f354df,COMPACT,10,5480.6114617476105,548.061146174761,21533.05730873805,150,85,4,0,True,,2.0991288000077475,10,4306.61146174761,899.0,275.0,149,108,42,130,75,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-2-endpoint,evaluation-10-boundary-2,200102,10,boundary,endpoint,e976b3b32400d80d9a665680bcff13d8383f455c05ead065f2d5c32411f354df,J,10,3914.38271973008,391.438271973008,15566.9135986504,122,18,0,0,True,,0.37937919999239966,10,3113.38271973008,727.0,74.0,117,108,14,98,8,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-2-endpoint,evaluation-10-boundary-2,200102,10,boundary,endpoint,e976b3b32400d80d9a665680bcff13d8383f455c05ead065f2d5c32411f354df,S,10,3920.1567737007244,392.01567737007247,15165.783868503619,133,25,1,0,True,,0.8872988999937661,10,3033.1567737007244,792.0,95.0,127,108,25,103,15,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-2-endpoint,evaluation-10-boundary-2,200102,10,boundary,endpoint,e976b3b32400d80d9a665680bcff13d8383f455c05ead065f2d5c32411f354df,O,10,4570.103023081751,457.01030230817514,17920.515115408754,155,14,0,0,True,,0.43568450000020675,10,3584.103023081752,924.0,62.0,149,108,47,130,4,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-2-endpoint,evaluation-10-boundary-2,200102,10,boundary,endpoint,e976b3b32400d80d9a665680bcff13d8383f455c05ead065f2d5c32411f354df,JS,10,3563.3529081996376,356.33529081996375,13546.764540998185,124,31,3,0,True,,0.543802100000903,10,2709.3529081996367,741.0,113.0,121,108,16,98,21,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-2-endpoint,evaluation-10-boundary-2,200102,10,boundary,endpoint,e976b3b32400d80d9a665680bcff13d8383f455c05ead065f2d5c32411f354df,JO,10,3841.2199308473478,384.12199308473475,15236.099654236743,123,14,0,0,True,,0.6737496000132523,10,3047.2199308473478,732.0,62.0,117,108,15,98,4,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-2-endpoint,evaluation-10-boundary-2,200102,10,boundary,endpoint,e976b3b32400d80d9a665680bcff13d8383f455c05ead065f2d5c32411f354df,SO,10,3836.0424677175556,383.6042467717556,15150.212338587775,126,11,0,0,True,,0.4268226000131108,10,3030.042467717555,753.0,53.0,123,108,18,104,1,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-2-endpoint,evaluation-10-boundary-2,200102,10,boundary,endpoint,e976b3b32400d80d9a665680bcff13d8383f455c05ead065f2d5c32411f354df,JSO,10,3525.7873771463055,352.57873771463056,13598.936885731524,125,13,0,0,True,,0.5359024000063073,10,2719.7873771463046,747.0,59.0,122,108,17,98,3,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-2-endpoint,evaluation-10-boundary-2,200102,10,boundary,endpoint,e976b3b32400d80d9a665680bcff13d8383f455c05ead065f2d5c32411f354df,JSO_ALLSCAN,10,4483.203751357102,448.3203751357102,11871.018756785506,342,13,0,0,True,,0.6891089999990072,10,2374.2037513571013,2050.0,59.0,340,325,17,315,3,0.0,0.0,0.0,True,True,True
