variant,scene_id,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals
previous_best,mixed_endpoint_50022,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,6484.6259255470795,648.462592554708,23003.129627735394,6905.764123447604,307,15,10,0,25,,True,14,48,0.8922021999023855,0.9427040000155102,284,274,23,3,1819.0,65.00000000000114,4600.6259255470795,761.6481806746315,5,284,9.094947017729282e-13,True,943.0121947375769,2.074856830987301,7ac276e8e53a137a11630ca5c609af1d923aa25ac2f9edbf0d9e71daa082f6a2,14,6,0,0,0,0,0
LC,mixed_endpoint_50022,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,6831.836004551473,683.1836004551473,24839.180022757348,9101.762724166654,301,20,10,8,25,,True,9,47,1.6519080000580288,1.7210777000000235,279,269,22,9,1784.0000000000011,80.00000000000172,4967.836004551472,0.0,10,279,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,d6dceffd3bbba468868b0e2a2c889852f5370c47f1a72d23284c48e6e7fc1042,0,0,0,0,0,0,106
LPC,mixed_endpoint_50022,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,7496.284896687119,749.6284896687118,26411.424483435574,10850.114720461943,311,116,10,4,25,,True,17,50,1.443405500089284,1.5986604999925476,279,269,32,13,1845.999999999999,368.0000000000015,5282.284896687115,272.32612559802146,106,291,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,f56118b767c7fcd73e867933644cba5c09967d41523eebff3992dedc9ec857d0,17,0,0,0,17,0,72
R2,mixed_endpoint_50022,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,6831.836004551473,683.1836004551473,24839.180022757348,9101.762724166654,301,20,10,8,25,,True,9,47,1.488233600044623,1.55458679998992,279,269,22,9,1784.0000000000011,80.00000000000172,4967.836004551472,0.0,10,279,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,d6dceffd3bbba468868b0e2a2c889852f5370c47f1a72d23284c48e6e7fc1042,0,0,0,0,0,0,106
B20,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6190.165493385673,562.7423175805156,21485.827466928367,6508.632282485763,307,16,11,5,25,,True,9,48,4.6411195999826305,4.706636899994919,287,276,20,3,1823.0000000000014,69.99999999999989,4297.165493385673,372.27098105239656,5,288,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,c7541afce4a09a65a9efcd247ff211e2db9f2f0dd7721d0ef692755b70736513,0,0,0,0,0,0,42
G075,mixed_endpoint_50022,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,6831.836004551473,683.1836004551473,24839.180022757348,9101.762724166654,301,20,10,8,25,,True,9,47,1.4712996998568997,1.7538830000266898,279,269,22,9,1784.0000000000011,80.00000000000172,4967.836004551472,0.0,10,279,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,d6dceffd3bbba468868b0e2a2c889852f5370c47f1a72d23284c48e6e7fc1042,0,0,0,0,0,0,106
R4,mixed_endpoint_50022,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,6831.836004551473,683.1836004551473,24839.180022757348,9101.762724166654,301,20,10,8,25,,True,9,47,1.6996065999555867,1.7726076999970246,279,269,22,9,1784.0000000000011,80.00000000000172,4967.836004551472,0.0,10,279,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,d6dceffd3bbba468868b0e2a2c889852f5370c47f1a72d23284c48e6e7fc1042,0,0,0,0,0,0,106
E2,mixed_endpoint_50022,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,6831.836004551473,683.1836004551473,24839.180022757348,9101.762724166654,301,20,10,8,25,,True,9,47,2.1188189000240527,2.232649899990065,279,269,22,9,1784.0000000000011,80.00000000000172,4967.836004551472,0.0,10,279,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,9ef483eb86e79d5b50b95d9c061fc96490312258948ea228b5111d9aa25d5b50,0,0,0,0,0,0,106
E1,mixed_endpoint_50022,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,6831.836004551473,683.1836004551473,24839.180022757348,9101.762724166654,301,20,10,8,25,,True,9,47,2.2100686999910977,2.3144408999942243,279,269,22,9,1784.0000000000011,80.00000000000172,4967.836004551472,0.0,10,279,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,9ef483eb86e79d5b50b95d9c061fc96490312258948ea228b5111d9aa25d5b50,0,0,0,0,0,0,106
G15,mixed_endpoint_50022,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,6831.836004551473,683.1836004551473,24839.180022757348,9101.762724166654,301,20,10,8,25,,True,9,47,1.552307600097265,1.8700608999934047,279,269,22,9,1784.0000000000011,80.00000000000172,4967.836004551472,0.0,10,279,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,d6dceffd3bbba468868b0e2a2c889852f5370c47f1a72d23284c48e6e7fc1042,0,0,0,0,0,0,106
